,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,id,start_time,geometry
101,27.596539,-82.114532,345.26,0.4,0.37,1/2/2020,1829,N,VIIRS,n,1,285.56,9.64,D,0,295,1/2/2020 18:29,POINT (-9140947.888967969 3072032.669136715)
102,27.720047,-80.885292,344.77,0.38,0.36,1/2/2020,1829,N,VIIRS,n,1,302.65,34.27,D,0,336,1/2/2020 18:29,POINT (-9004109.518105244 3085781.51680561)
103,31.477652,-82.437805,336.42,0.39,0.36,1/2/2020,1830,N,VIIRS,n,1,291.78,4.32,D,0,372,1/2/2020 18:30,POINT (-9176934.474715183 3504076.19200787)
104,41.18943,-83.237366,327.63,0.39,0.36,1/2/2020,1832,N,VIIRS,n,1,268.78,2.36,D,0,376,1/2/2020 18:32,POINT (-9265941.198093344 4585186.373665186)
105,41.41177,-94.242325,328.22,0.52,0.5,1/2/2020,1833,N,VIIRS,n,1,279.19,4.13,D,0,377,1/2/2020 18:33,POINT (-10491007.6301742 4609937.149248163)
106,41.895985,-84.996216,325.83,0.38,0.36,1/2/2020,1833,N,VIIRS,n,1,277.23,1.32,D,0,379,1/2/2020 18:33,POINT (-9461735.484475093 4663839.716482627)
107,42.531151,-85.439583,326.84,0.38,0.36,1/2/2020,1833,N,VIIRS,n,1,274.58,1.94,D,0,381,1/2/2020 18:33,POINT (-9511090.873149632 4734546.072171829)
108,32.685715,-115.614014,330.61,0.51,0.49,1/2/2020,2012,N,VIIRS,n,1,297.03,3.4,D,0,382,1/2/2020 20:12,POINT (-12870093.1670464 3638557.150014064)
109,37.406868,-108.331375,342.79,0.39,0.36,1/2/2020,2013,N,VIIRS,n,1,272.7,5.17,D,0,385,1/2/2020 20:13,POINT (-12059393.50193517 4164113.497931199)
110,39.062035,-122.946587,329.11,0.44,0.62,1/2/2020,2014,N,VIIRS,n,1,286.18,5.51,D,0,386,1/2/2020 20:14,POINT (-13686351.45961091 4348365.845549029)
111,41.24094,-92.876732,338.8,0.68,0.74,1/2/2020,2014,N,VIIRS,n,1,281.15,5.08,D,0,387,1/2/2020 20:14,POINT (-10338990.51278334 4590920.440635948)
112,39.625374,-122.608315,332.69,0.41,0.6,1/2/2020,2014,N,VIIRS,n,1,286.44,3.04,D,0,388,1/2/2020 20:14,POINT (-13648695.19282128 4411076.456173022)
113,42.979786,-123.043343,331.15,0.35,0.56,1/2/2020,2015,N,VIIRS,n,1,276.69,3.28,D,0,389,1/2/2020 20:15,POINT (-13697122.2882621 4784487.891923868)
114,47.380398,-117.556404,328.52,0.48,0.4,1/2/2020,2016,N,VIIRS,n,1,275,22.04,D,0,391,1/2/2020 20:16,POINT (-13086319.03276835 5274361.778942637)
115,47.324158,-116.762306,343.84,0.45,0.39,1/2/2020,2016,N,VIIRS,n,1,277.83,18.66,D,0,401,1/2/2020 20:16,POINT (-12997920.44776839 5268101.170780424)
116,41.026718,-122.439323,347.81,0.41,0.61,1/2/2020,2155,N,VIIRS,n,1,282.11,5.41,D,0,404,1/2/2020 21:55,POINT (-13629883.08943315 4567073.356679232)
117,39.081978,-122.181213,348.25,0.41,0.61,1/2/2020,2155,N,VIIRS,n,1,285.65,4,D,0,406,1/2/2020 21:55,POINT (-13601150.4156645 4350585.89015392)
118,42.076817,-121.209564,325.26,0.49,0.65,1/2/2020,2155,N,VIIRS,n,1,280.11,3.01,D,0,408,1/2/2020 21:55,POINT (-13492986.9437547 4683969.842641757)
119,32.127296,-80.85775,301.67,0.49,0.4,1/3/2020,653,N,VIIRS,n,1,287.79,1.31,N,0,410,1/3/2020 6:53,POINT (-9001043.556689816 3576394.231284775)
120,32.178959,-81.874893,310.1,0.54,0.42,1/3/2020,653,N,VIIRS,n,1,282.7,1.84,N,0,411,1/3/2020 6:53,POINT (-9114271.397513758 3582145.330137629)
121,47.710487,-102.676315,310.24,0.51,0.41,1/3/2020,830,N,VIIRS,n,1,267.59,1.2,N,0,417,1/3/2020 8:30,POINT (-11429875.10232976 5311107.118339098)
122,33.861069,-86.290215,296.07,0.61,0.71,1/3/2020,833,N,VIIRS,n,1,281.83,0.56,N,0,419,1/3/2020 8:33,POINT (-9605782.794242097 3769396.958795901)
123,31.337877,-97.114441,302.81,0.53,0.42,1/3/2020,834,N,VIIRS,n,1,278.33,1.34,N,0,420,1/3/2020 8:34,POINT (-10810730.12079341 3488516.51018224)
124,30.744448,-96.66172,295.29,0.38,0.44,1/3/2020,834,N,VIIRS,n,1,279.55,0.38,N,0,421,1/3/2020 8:34,POINT (-10760333.44960199 3422456.296080278)
125,33.7048,-114.22113,298.82,0.47,0.64,1/3/2020,834,N,VIIRS,n,1,275.05,0.66,N,0,422,1/3/2020 8:34,POINT (-12715038.0294323 3752001.173289127)
126,28.655113,-98.206238,299.78,0.52,0.42,1/3/2020,835,N,VIIRS,n,1,280.22,0.67,N,0,423,1/3/2020 8:35,POINT (-10932268.40688303 3189872.587783714)
127,29.245514,-98.290764,300.47,0.51,0.41,1/3/2020,835,N,VIIRS,n,1,274.03,1.14,N,0,424,1/3/2020 8:35,POINT (-10941677.79816183 3255595.726467554)
128,29.381704,-97.273735,299.58,0.57,0.43,1/3/2020,835,N,VIIRS,n,1,280.26,0.58,N,0,427,1/3/2020 8:35,POINT (-10828462.64775983 3270756.327918689)
129,47.864964,-103.480453,320.44,0.55,0.68,1/3/2020,1010,N,VIIRS,n,1,262.62,2.32,N,0,430,1/3/2020 10:10,POINT (-11519391.33501728 5328303.419318371)
130,37.518616,-119.901215,305.11,0.55,0.43,1/3/2020,1014,N,VIIRS,n,1,261.78,1.08,N,0,437,1/3/2020 10:14,POINT (-13347342.19929481 4176553.228388365)
131,29.457352,-81.655174,336.93,0.55,0.43,1/3/2020,1810,N,VIIRS,n,1,294.92,4.73,D,0,445,1/3/2020 18:10,POINT (-9089812.390316151 3279177.424758219)
132,26.969915,-80.470009,334.34,0.53,0.42,1/3/2020,1810,N,VIIRS,n,1,300.63,14.79,D,0,456,1/3/2020 18:10,POINT (-8957880.426010141 3002277.204537871)
133,32.721035,-80.769981,342.16,0.45,0.39,1/3/2020,1811,N,VIIRS,n,1,294.7,3.82,D,0,468,1/3/2020 18:11,POINT (-8991273.156302381 3642488.954428882)
134,34.756935,-76.647041,329.89,0.39,0.36,1/3/2020,1812,N,VIIRS,n,1,288.98,5.29,D,0,470,1/3/2020 18:12,POINT (-8532309.574931163 3869124.305734908)
